transaction_id,customer_id,amount,currency,merchant_id,timestamp,device_id,ip_country,customer_avg_amount,merchant_risk
TX001,CUST001,500,INR,MERCH001,2026-09-16T09:00:00,DEV001,IN,700,LOW
TX002,CUST002,1200,INR,MERCH002,2026-09-16T09:01:00,DEV002,IN,1000,LOW
TX003,CUST003,75000,INR,MERCH003,2026-09-16T09:02:00,DEV003,IN,1500,LOW
TX004,CUST004,250000,INR,MERCH004,2026-09-16T09:03:00,DEV004,SG,2000,HIGH
TX005,CUST005,800,USD,MERCH005,2026-09-16T09:04:00,DEV005,US,900,LOW
TX006,CUST001,600,INR,MERCH001,2026-09-16T09:05:00,DEV001,IN,700,LOW
TX007,CUST002,45000,INR,MERCH006,2026-09-16T09:06:00,DEV002,IN,1000,HIGH
TX008,CUST006,300,EUR,MERCH007,2026-09-16T09:07:00,DEV006,DE,400,LOW
TX009,CUST007,1500,INR,MERCH008,2026-09-16T09:08:00,DEV007,IN,1200,LOW
TX010,CUST008,95000,INR,MERCH009,2026-09-16T09:09:00,DEV008,NG,1000,HIGH
TX011,CUST009,700,GBP,MERCH010,2026-09-16T09:10:00,DEV009,GB,800,LOW
TX012,CUST010,2000,INR,MERCH011,2026-09-16T09:11:00,DEV010,IN,1800,LOW
TX013,CUST003,1800,INR,MERCH003,2026-09-16T09:12:00,DEV003,IN,1500,LOW
TX014,CUST004,5000,INR,MERCH004,2026-09-16T09:13:00,DEV004,SG,2000,HIGH
TX015,CUST011,250,USD,MERCH012,2026-09-16T09:14:00,DEV011,US,300,LOW
TX016,CUST012,60000,INR,MERCH013,2026-09-16T09:15:00,DEV012,RU,1200,HIGH
TX017,CUST013,900,INR,MERCH014,2026-09-16T09:16:00,DEV013,IN,1000,LOW
TX018,CUST014,1100,INR,MERCH015,2026-09-16T09:17:00,DEV014,IN,1000,LOW
TX019,CUST015,40000,INR,MERCH016,2026-09-16T09:18:00,DEV015,IN,1500,HIGH
TX020,CUST016,650,INR,MERCH017,2026-09-16T09:19:00,DEV016,IN,700,LOW
